,Rank,Name,Net_Worth,Age,Citizenship,Source,Industry
652,636,Daniel Tsai,$4.3 B,66,Taiwan,Finance,Finance & Investments
653,636,Richard Tsai,$4.3 B,65,Taiwan,Finance,Finance & Investments
654,636,Frank Wang,$4.3 B,42,China,Drones,Technology
655,636,Wang Junshi & family,$4.3 B,74,China,Solar inverters,Manufacturing
656,636,Wang Wenjing,$4.3 B,58,China,Business software,Technology
657,636,Herbert Wertheim,$4.3 B,83,United States,Investments,Finance & Investments
658,659,Shari Arison,$4.2 B,65,Israel,Carnival Cruises,Service
659,659,Pyotr Aven,$4.2 B,68,Russia,"Oil, banking, telecom",Finance & Investments
660,659,Chan Laiwa & family,$4.2 B,82,China,Real estate,Real Estate
661,659,Chen Hua & family,$4.2 B,57,China,Real estate,Real Estate
662,659,Thomas Hagen,$4.2 B,87,United States,Insurance,Finance & Investments
663,659,"Rupert Johnson, Jr.",$4.2 B,82,United States,Franklin Templeton,Finance & Investments
664,659,Dewi Kam,$4.2 B,72,Indonesia,Coal,Energy
665,659,Min Kao & family,$4.2 B,74,United States,Navigation equipment,Technology
666,659,Marc Ladreit de Lacharriere,$4.2 B,82,France,Finance,Finance & Investments
667,659,Eric Lefkofsky,$4.2 B,53,United States,"Groupon, investments",Technology
668,659,Lin Bin,$4.2 B,55,United States,Smartphones,Technology
669,659,Lin Li,$4.2 B,59,China,Investments,Finance & Investments
670,659,Michael Moritz,$4.2 B,68,United States,Venture capital,Technology
671,659,Jean (Gigi) Pritzker,$4.2 B,60,United States,"Hotels, investments",Service
672,659,E. Joe Shoen,$4.2 B,73,United States,U-Haul,Automotive
673,659,Jeff Skoll,$4.2 B,58,United States,EBay,Technology
674,659,Lynsi Snyder,$4.2 B,40,United States,In-N-Out Burger,Food & Beverage
675,659,Djoko Susanto,$4.2 B,73,Indonesia,Supermarkets,Fashion & Retail
676,659,Tahir & family,$4.2 B,71,Indonesia,Diversified,Diversified
677,659,Peter Thiel,$4.2 B,55,United States,"Facebook, investments",Finance & Investments
678,679,Andrej Babis,$4.1 B,68,Czech Republic,Agriculture,Food & Beverage
679,679,Danielle Bellon & family,$4.1 B,83,France,Food services,Service
680,679,Hubert Burda,$4.1 B,83,Germany,Publishing,Media & Entertainment
681,679,Nick Caporella,$4.1 B,87,United States,Beverages,Food & Beverage
682,679,John Catsimatidis,$4.1 B,74,United States,"Oil, real estate",Energy
683,679,Scott Cook,$4.1 B,70,United States,Software,Technology
684,679,Luca Garavoglia,$4.1 B,54,Italy,Spirits,Food & Beverage
685,679,Antti Herlin,$4.1 B,66,Finland,"Elevators, escalators",Manufacturing
686,679,Hong Jie,$4.1 B,55,China,Paint,Manufacturing
687,679,"Jeremy Jacobs, Sr. & family",$4.1 B,83,United States,Food service,Service
688,679,Igor Kesaev,$4.1 B,56,Russia,"Tobacco distribution, retail",Fashion & Retail
689,679,Mary Alice Dorrance Malone,$4.1 B,73,United States,Campbell Soup,Food & Beverage
690,679,Joao Moreira Salles,$4.1 B,61,Brazil,"Banking, minerals",Diversified
691,679,Walther Moreira Salles Junior,$4.1 B,66,Brazil,"Banking, minerals",Finance & Investments
692,679,Arturo Moreno,$4.1 B,76,United States,"Billboards, Los Angeles Angels",Sports
693,679,Peter Spuhler,$4.1 B,63,Switzerland,Train cars,Manufacturing
694,679,Donald Sterling,$4.1 B,88,United States,Real estate,Real Estate
695,679,Kerry Stokes,$4.1 B,82,Australia,"Construction equipment, media",Diversified
696,679,Ken Xie,$4.1 B,60,United States,Cybersecurity,Technology
697,679,Liangzhi Xie & family,$4.1 B,57,China,Biotech,Healthcare
698,699,Sid Bass,$4 B,80,United States,"Oil, investments",Energy
699,699,Ben Chestnut,$4 B,48,United States,Email marketing,Technology
700,699,Elisabeth DeLuca & family,$4 B,75,United States,Subway,Food & Beverage
701,699,Guangchang Guo,$4 B,56,China,Conglomerate,Diversified
702,699,Vinod Rai Gupta,$4 B,77,India,Electrical equipment,Manufacturing
703,699,John Henry,$4 B,73,United States,Sports,Sports
704,699,Travis Kalanick,$4 B,46,United States,Uber,Technology
705,699,Koon Poh Keong,$4 B,61,Malaysia,Aluminum,Manufacturing
706,699,Dan Kurzius,$4 B,51,United States,Email marketing,Technology
707,699,Paul Lee,$4 B,65,United States,Battery separators,Manufacturing
708,699,Tobi Lutke,$4 B,42,Canada,E-commerce,Technology
709,699,Gail Miller,$4 B,79,United States,Car dealerships,Automotive
710,699,Rajan Mittal,$4 B,63,India,Telecom,Telecom
711,699,Rakesh Mittal,$4 B,67,India,Telecom,Telecom
712,699,Isaac Perlmutter,$4 B,80,United States,Marvel comics,Media & Entertainment
713,699,"Bernard Saul, II.",$4 B,90,United States,"Banking, real estate",Finance & Investments
714,699,Shaul Shani,$4 B,68,Israel,Telecom,Telecom
715,699,Steven Spielberg,$4 B,76,United States,Movies,Media & Entertainment
716,699,Jerzy Starak,$4 B,75,Poland,Pharmaceuticals,Healthcare
717,699,Torbjorn Tornqvist,$4 B,69,Sweden,Oil trading,Energy
718,699,Rufino Vigil Gonzalez,$4 B,74,Mexico,Steel,Metals & Mining
719,699,Zhang Daocai,$4 B,73,China,Valves,Diversified
720,721,Juergen Blickle,$3.9 B,76,Germany,Auto parts,Manufacturing
721,721,"Austen Cargill, II.",$3.9 B,72,United States,Cargill,Food & Beverage
722,721,"James Cargill, II.",$3.9 B,73,United States,Cargill,Food & Beverage
723,721,Vanich Chaiyawan,$3.9 B,91,Thailand,"Insurance, beverages",Finance & Investments
724,721,Chen Dongsheng,$3.9 B,65,China,Insurance,Finance & Investments
725,721,Mong-Koo Chung,$3.9 B,85,South Korea,Hyundai,Automotive
726,721,Kenneth Dart,$3.9 B,67,Belize,Investments,Finance & Investments
727,721,Giuseppe De'Longhi & family,$3.9 B,83,Italy,Coffee makers,Fashion & Retail
728,721,Guenther Fielmann & family,$3.9 B,83,Germany,Optometry,Healthcare
729,721,W. Herbert Hunt,$3.9 B,94,United States,Oil,Energy
730,721,James Irsay,$3.9 B,63,United States,Indianapolis Colts,Sports
731,721,Somurai Jaruphnit,$3.9 B,N/A,Thailand,Diversified,Diversified
732,721,Marianne Liebmann,$3.9 B,69,United States,Cargill,Food & Beverage
733,721,Jorge Moll Filho & family,$3.9 B,78,Brazil,Hospitals,Healthcare
734,721,Fernando Roberto Moreira Salles,$3.9 B,76,Brazil,"Banking, minerals",Diversified
735,721,Pedro Moreira Salles,$3.9 B,63,Brazil,"Banking, minerals",Diversified
736,721,Gabe Newell,$3.9 B,60,United States,Videogames,Gambling & Casinos
737,721,Alfred Oetker,$3.9 B,56,Germany,Consumer goods,Fashion & Retail
738,721,Carl Ferdinand Oetker,$3.9 B,50,Germany,Consumer goods,Fashion & Retail
739,721,Julia Oetker,$3.9 B,44,Germany,Consumer goods,Fashion & Retail
740,721,Ruan Hongliang & family,$3.9 B,62,China,Glass,Manufacturing
741,721,Mark Stevens,$3.9 B,63,United States,Venture capital,Finance & Investments
742,721,Tsai Hong-tu,$3.9 B,70,Taiwan,Finance,Finance & Investments
743,721,Nusli Wadia,$3.9 B,79,India,Consumer goods,Food & Beverage
744,721,Wu Yiling,$3.9 B,73,China,Pharmaceuticals,Healthcare
745,721,Yu Renrong,$3.9 B,57,China,Semiconductors,Manufacturing
746,721,Zhu Baoguo & family,$3.9 B,60,China,Pharmaceuticals,Healthcare
747,748,Rahul Bhatia,$3.8 B,63,India,Aviation,Service
748,748,Francesco Gaetano Caltagirone,$3.8 B,80,Italy,"Cement, diversified",Construction & Engineering
749,748,Barry Diller,$3.8 B,81,United States,Online media,Media & Entertainment
750,748,Wesley Edens,$3.8 B,61,United States,Investments,Finance & Investments
751,748,Stephen Feinberg,$3.8 B,63,United States,Private equity,Finance & Investments
752,748,Rakesh Gangwal,$3.8 B,69,United States,Airline,Service
753,748,Joseph Grendys,$3.8 B,61,United States,Poultry processing,Food & Beverage
754,748,Martha Ingram & family,$3.8 B,87,United States,"Book distribution, transportation",Media & Entertainment
755,748,Li Xiang,$3.8 B,41,China,Electric vehicles,Automotive
756,748,"H. Ross Perot, Jr.",$3.8 B,64,United States,Real estate,Real Estate
757,748,Chandru Raheja,$3.8 B,82,India,Real estate,Real Estate
758,748,Trevor Rees-Jones,$3.8 B,71,United States,Oil & gas,Energy
759,748,Yasumitsu Shigeta,$3.8 B,58,Japan,Mobile phone retailer,Telecom
760,748,Su Qingcan,$3.8 B,54,China,Healthcare,Healthcare
761,748,Tsai Cheng-ta,$3.8 B,73,Taiwan,Finance,Finance & Investments
762,748,Steven Udvar-Hazy,$3.8 B,77,United States,Aircraft leasing,Service
763,748,Elizabeth Uihlein,$3.8 B,77,United States,Packaging materials,Manufacturing
764,748,Richard Uihlein,$3.8 B,77,United States,Packaging materials,Manufacturing
765,766,Hayes Barnard,$3.7 B,51,United States,Fintech,Finance & Investments
766,766,William Berkley,$3.7 B,76,United States,Insurance,Finance & Investments
767,766,Charles Cohen,$3.7 B,71,United States,Real estate,Real Estate
768,766,Yakir Gabay,$3.7 B,56,Cyprus,Real estate,Real Estate
769,766,Huang Li,$3.7 B,59,China,Imaging systems,Technology
770,766,Brad Jacobs,$3.7 B,66,United States,Logistics,Logistics
771,766,Ji Qi,$3.7 B,56,China,"Hotels, motels",Real Estate
772,766,Jason Jiang,$3.7 B,50,Singapore,Advertising,Media & Entertainment
773,766,Jim Kavanaugh,$3.7 B,60,United States,IT provider,Technology
774,766,Richard LeFrak & family,$3.7 B,77,United States,Real estate,Real Estate
775,766,Mikhail Lomtadze,$3.7 B,47,Georgia,Fintech,Finance & Investments
776,766,Tom Morris,$3.7 B,68,United Kingdom,Retail,Fashion & Retail
777,766,Shigenobu Nagamori,$3.7 B,78,Japan,Motors,Manufacturing
778,766,Daniel Och,$3.7 B,62,United States,Hedge funds,Finance & Investments
779,766,Horst Paulmann & family,$3.7 B,88,Chile,Retail,Fashion & Retail
780,766,Anthony Pritzker,$3.7 B,62,United States,"Hotels, investments",Service
781,766,John Sall,$3.7 B,75,United States,Software,Technology
782,766,Howard Schultz,$3.7 B,69,United States,Starbucks,Food & Beverage
783,766,Richard Schulze,$3.7 B,82,United States,Best Buy,Fashion & Retail
784,766,Yitzhak Tshuva,$3.7 B,74,Israel,Real estate,Real Estate
785,766,Wang Yanqing & family,$3.7 B,56,China,Electrical equipment,Manufacturing
786,787,Rajiv Bajaj,$3.6 B,56,India,Diversified,Diversified
787,787,Sanjiv Bajaj,$3.6 B,53,India,Diversified,Diversified
788,787,Leonid Boguslavsky,$3.6 B,71,Canada,Venture capital,Finance & Investments
789,787,Jim Coulter,$3.6 B,63,United States,Private equity,Finance & Investments
790,787,Nicolas D'Ieteren,$3.6 B,47,Belgium,"Auto parts, distribution",Automotive
791,787,Beatriz Davila de Santo Domingo,$3.6 B,84,Colombia,Beer,Food & Beverage
792,787,Bob Gaglardi,$3.6 B,82,Canada,Hotels,Real Estate
793,787,Jaime Gilinski Bacal,$3.6 B,65,Colombia,Banking,Finance & Investments
794,787,Pansy Ho,$3.6 B,60,Hong Kong,Casinos,Gambling & Casinos
795,787,Alan Howard,$3.6 B,59,United Kingdom,Hedge funds,Finance & Investments
796,787,Huang Yi,$3.6 B,61,Hong Kong,Car dealerships,Automotive
797,787,Peter Kellogg,$3.6 B,80,United States,Investments,Finance & Investments
798,787,Vyacheslav Kim,$3.6 B,53,Kazakhstan,Fintech,Finance & Investments
799,787,Josh Kushner,$3.6 B,37,United States,Venture capital,Finance & Investments
800,787,Samuel Tak Lee,$3.6 B,83,Hong Kong,Real estate,Real Estate
801,787,Edwin Leong,$3.6 B,71,Hong Kong,Real estate,Real Estate
802,787,"Stephen Mandel, Jr.",$3.6 B,67,United States,Hedge funds,Finance & Investments
803,787,Mohamed Mansour,$3.6 B,75,Egypt,Diversified,Diversified
804,787,Masahiro Miki,$3.6 B,67,Japan,Shoes,Fashion & Retail
805,787,Masahiro Noda,$3.6 B,84,Japan,Software,Technology
806,787,Cliff Obrecht,$3.6 B,37,Australia,Software,Technology
807,787,Melanie Perkins,$3.6 B,35,Australia,Software,Technology
808,787,J.B. Pritzker,$3.6 B,58,United States,"Hotels, investments",Finance & Investments
809,787,Juan Roig,$3.6 B,73,Spain,Supermarkets,Fashion & Retail
810,787,Jerry Speyer & family,$3.6 B,82,United States,Real estate,Real Estate
811,787,Lawrence Stroll,$3.6 B,63,Canada,Fashion investments,Fashion & Retail
812,787,Tung Chee Chen,$3.6 B,80,Hong Kong,Shipping,Logistics
813,787,Wang Junlin & family,$3.6 B,60,China,Liquor,Food & Beverage
814,787,Xia Zuoquan,$3.6 B,61,China,"Automobiles, batteries",Automotive
815,787,Zeng Fangqin,$3.6 B,57,Hong Kong,Smartphone components,Technology
816,787,Zhang Jian,$3.6 B,54,China,"Electric bikes, scooters",Manufacturing
817,818,Rocco Basilico,$3.5 B,33,Italy,Eyeglasses,Fashion & Retail
818,818,Maurizio Billi,$3.5 B,65,Brazil,Generic drugs,Healthcare
819,818,Fashu Chen,$3.5 B,62,China,Investments,Finance & Investments
820,818,Giuseppe Crippa & family,$3.5 B,87,Italy,Microchip testing,Manufacturing
821,818,Daniel D'Aniello,$3.5 B,76,United States,Private equity,Finance & Investments
822,818,Claudio Del Vecchio,$3.5 B,66,Italy,Eyeglasses,Fashion & Retail
823,818,Clemente Del Vecchio,$3.5 B,18,Italy,Eyeglases,Fashion & Retail
824,818,Leonardo Maria Del Vecchio,$3.5 B,27,Italy,Eyeglasses,Fashion & Retail
825,818,Luca Del Vecchio,$3.5 B,21,Italy,Eyeglasses,Fashion & Retail
826,818,Marisa Del Vecchio,$3.5 B,64,Italy,Eyeglasses,Fashion & Retail
827,818,Paola Del Vecchio,$3.5 B,61,Italy,Eyeglasses,Fashion & Retail
828,818,Walter P.J. Droege,$3.5 B,70,Germany,Investing,Finance & Investments
829,818,Fan Daidi,$3.5 B,57,China,Skincare,Fashion & Retail
830,818,Peter Gassner,$3.5 B,58,United States,Software,Technology
831,818,Mikhail Gutseriev,$3.5 B,65,Russia,"Oil, coal, real estate",Energy
832,818,Patrick Lee,$3.5 B,81,Hong Kong,Paper,Manufacturing
833,818,Leng Youbin,$3.5 B,54,China,Infant formula,Food & Beverage
834,818,Daniel Loeb,$3.5 B,61,United States,Hedge funds,Finance & Investments
835,818,Margarita Louis-Dreyfus & family,$3.5 B,60,Switzerland,Commodities,Food & Beverage
836,818,Prasert Prasarttong-Osoth,$3.5 B,90,Thailand,Hospitals,Healthcare
837,818,Ira Rennert,$3.5 B,88,United States,Investments,Finance & Investments
838,818,Dirk Rossmann & family,$3.5 B,76,Germany,Drugstores,Fashion & Retail
839,818,Arkady Rotenberg,$3.5 B,71,Russia,"Construction, pipes, banking",Construction & Engineering
840,818,Remo Ruffini,$3.5 B,61,Italy,Winter jackets,Fashion & Retail
841,818,Karin Sartorius-Herbst,$3.5 B,N/A,Germany,Biopharmaceuticals,Healthcare
842,818,Vivek Chaand Sehgal,$3.5 B,66,Australia,Auto parts,Automotive
843,818,Scott Shleifer,$3.5 B,45,United States,Private equity,Finance & Investments
844,818,Thomas Siebel,$3.5 B,70,United States,Business software,Technology
845,818,Wim van der Leegte & family,$3.5 B,75,Netherlands,Manufacturing,Manufacturing
846,818,Xiao Yongming & family,$3.5 B,58,China,Fertilizer,Diversified
847,818,Michael Xie,$3.5 B,54,United States,Cybersecurity,Technology
848,818,Yang Shaopeng,$3.5 B,65,China,Shipping,Logistics
849,818,Nicoletta Zampillo,$3.5 B,65,Italy,Eyeglasses,Fashion & Retail
850,818,Barry Zekelman,$3.5 B,56,Canada,Steel,Manufacturing
851,852,William Ackman,$3.4 B,56,United States,Hedge funds,Finance & Investments
852,852,Somphote Ahunai,$3.4 B,55,Thailand,Renewable energy,Energy
853,852,Igor Altushkin,$3.4 B,52,Russia,Metals,Metals & Mining
854,852,Ramon Ang,$3.4 B,69,Philippines,Diversified,Food & Beverage
855,852,Acharya Balkrishna,$3.4 B,50,India,Consumer goods,Food & Beverage
856,852,Markus Blocher,$3.4 B,52,Switzerland,Chemicals,Manufacturing
857,852,Richard Branson,$3.4 B,72,United Kingdom,Virgin,Diversified
858,852,Cho Jung-ho,$3.4 B,64,South Korea,Finance,Finance & Investments
859,852,Alessandra Garavoglia,$3.4 B,63,Italy,Spirits,Food & Beverage
860,852,Laurence Graff & family,$3.4 B,84,United Kingdom,Diamond jewelry,Fashion & Retail
861,852,"Amos Hostetter, Jr.",$3.4 B,86,United States,Cable television,Media & Entertainment
862,852,Robert Johnson,$3.4 B,75,United States,"Johnson & Johnson, sports",Sports
863,852,Steven Klinsky,$3.4 B,66,United States,Investments,Finance & Investments
864,852,William Lauder,$3.4 B,62,United States,Estee Lauder,Fashion & Retail
865,852,John Middleton,$3.4 B,68,United States,Tobacco,Food & Beverage
866,852,Hiroshi Mikitani,$3.4 B,58,Japan,Online retail,Fashion & Retail
867,852,Bob Parsons,$3.4 B,72,United States,Web hosting,Technology
868,852,J. Joe Ricketts & family,$3.4 B,81,United States,TD Ameritrade,Finance & Investments
869,852,Herb Simon,$3.4 B,88,United States,Real estate,Real Estate
870,852,Leena Tewari,$3.4 B,65,India,Pharmaceuticals,Healthcare
871,852,Stefan von Holtzbrinck,$3.4 B,59,Germany,Publishing,Media & Entertainment
872,852,Hans Peter Wild,$3.4 B,81,Switzerland,Flavorings,Food & Beverage
873,852,Wu Guanjiang & family,$3.4 B,54,China,Pharmaceuticals,Healthcare
874,852,Yi Zheng,$3.4 B,52,China,Software,Technology
875,852,Eric Yuan & family,$3.4 B,53,United States,Zoom Video Communications,Technology
876,852,Charles Zegar,$3.4 B,75,United States,Bloomberg LP,Media & Entertainment
877,878,Mohed Altrad,$3.3 B,75,France,"Scaffolding, cement mixers",Construction & Engineering
878,878,John Arnold,$3.3 B,49,United States,Hedge funds,Finance & Investments
879,878,Bill Austin,$3.3 B,81,United States,Hearing aids,Manufacturing
880,878,Chen Shibin,$3.3 B,56,China,Quartz products,Manufacturing
881,878,Bennett Dorrance,$3.3 B,77,United States,Campbell Soup,Food & Beverage
882,878,Walter Faria,$3.3 B,68,Brazil,Beer,Food & Beverage
883,878,Walter Frey,$3.3 B,79,Switzerland,Car dealerships,Automotive
884,878,Fu Liquan & family,$3.3 B,55,China,Surveillance equipment,Technology
885,878,John Gandel,$3.3 B,88,Australia,Shopping malls,Real Estate
886,878,Peter Gilgan,$3.3 B,72,Canada,Homebuilding,Construction & Engineering
887,878,Kwek Leng Beng,$3.3 B,82,Singapore,Diversified,Diversified
888,878,Pablo Legorreta,$3.3 B,59,United States,Investments,Finance & Investments
889,878,Arnon Milchan,$3.3 B,78,Israel,Movie making,Media & Entertainment
890,878,Akio Nitori,$3.3 B,79,Japan,Home furnishings,Fashion & Retail
891,878,Julio Ponce Lerou,$3.3 B,77,Chile,Fertilizer,Metals & Mining
892,878,Rodger Riney & family,$3.3 B,77,United States,Discount brokerage,Finance & Investments
893,878,Phil Ruffin,$3.3 B,88,United States,"Casinos, real estate",Diversified
894,878,Naguib Sawiris,$3.3 B,68,Egypt,Telecom,Telecom
895,878,Shen Neil,$3.3 B,55,Hong Kong,Venture capital,Finance & Investments
896,878,Gil Shwed,$3.3 B,54,Israel,Software,Technology
897,878,Stephen Smith,$3.3 B,71,Canada,Finance and investments,Finance & Investments
898,878,Nik Storonsky,$3.3 B,38,United Kingdom,Fintech,Finance & Investments
899,878,Jeffrey Talpins,$3.3 B,48,United States,Hedge fund,Finance & Investments
900,878,Carl Thoma,$3.3 B,74,United States,Investments,Finance & Investments
901,878,Todd Wanek,$3.3 B,59,United States,Furniture,Manufacturing
902,878,Xue Hua,$3.3 B,53,China,Agribusiness,Manufacturing
903,878,Takao Yasuda,$3.3 B,73,Japan,Retail,Fashion & Retail
904,905,Karen Virginia Beckmann Legoretta,$3.2 B,53,Mexico,Tequila,Food & Beverage
905,905,Giuliana Benetton,$3.2 B,85,Italy,"Fashion retail, investments",Fashion & Retail
906,905,Luciano Benetton,$3.2 B,87,Italy,"Fashion retail, investments",Fashion & Retail
907,905,Arun Bharat Ram,$3.2 B,82,India,Chemicals,Manufacturing
908,905,Ron Burkle,$3.2 B,70,United States,"Supermarkets, investments",Finance & Investments
909,905,Chen Kaixuan,$3.2 B,64,China,Household chemicals,Manufacturing
910,905,Brunello Cucinelli & family,$3.2 B,69,Italy,Fashion,Fashion & Retail
911,905,Antonio Del Valle Ruiz & family,$3.2 B,84,Mexico,Chemicals,Manufacturing
912,905,Gustavo Denegri & family,$3.2 B,86,Italy,Biotech,Healthcare
913,905,Dong Jinggui,$3.2 B,53,China,Electric scooters,Automotive
914,905,Charles Ergen,$3.2 B,70,United States,Satellite TV,Media & Entertainment
915,905,David Filo,$3.2 B,56,United States,Yahoo,Technology
916,905,Lindsay Fox,$3.2 B,85,Australia,"Logistics, real estate",Logistics
917,905,Sergei Galitsky,$3.2 B,55,Russia,Retail,Fashion & Retail
918,905,Senapathy Gopalakrishnan,$3.2 B,67,India,Software services,Technology
919,905,Luciano Hang,$3.2 B,60,Brazil,Department stores,Fashion & Retail
920,905,Michael Hintze,$3.2 B,69,Australia,Investment,Finance & Investments
921,905,Hu Baifan,$3.2 B,60,China,Pharmaceuticals,Healthcare
922,905,Hamilton James & family,$3.2 B,71,United States,Investments,Finance & Investments
923,905,Lee Boo-jin,$3.2 B,52,South Korea,Samsung,Technology
924,905,Li Liangbin,$3.2 B,55,China,Lithium,Manufacturing
925,905,Liang Feng,$3.2 B,54,China,Manufacturing,Manufacturing
926,905,Samir Mehta,$3.2 B,59,India,"Pharmaceuticals, power",Healthcare
927,905,Sudhir Mehta,$3.2 B,68,India,"Pharmaceuticals, power",Healthcare
928,905,Aristotelis Mistakidis,$3.2 B,61,Greece,"Mining, commodities",Metals & Mining
929,905,Geoffrey Palmer,$3.2 B,72,United States,Real estate,Real Estate
930,905,Roger Penske,$3.2 B,86,United States,Cars,Automotive
931,905,Ravi Pillai,$3.2 B,69,India,Construction,Construction & Engineering
932,905,David Rubenstein,$3.2 B,73,United States,Private equity,Finance & Investments
933,905,Hilton Schlosberg,$3.2 B,70,United Kingdom,Energy drinks,Food & Beverage
934,905,Klaus-Peter Schulenberg,$3.2 B,71,Germany,Ticketing service,Service
935,905,Lynn Schusterman & family,$3.2 B,84,United States,"Oil & gas, investments",Energy
936,905,Isabella Seràgnoli,$3.2 B,77,Italy,Packaging,Manufacturing
937,905,Shen Guojun,$3.2 B,60,China,Retail,Fashion & Retail
938,905,Warren Stephens,$3.2 B,66,United States,Investment banking,Finance & Investments
939,905,Pat Stryker,$3.2 B,66,United States,Medical equipment,Healthcare
940,905,Roman Trotsenko,$3.2 B,52,Russia,"Transport, engineering, real estate",Logistics
941,905,Harald Tschira,$3.2 B,48,Germany,Software,Technology
942,905,Udo Tschira,$3.2 B,53,Germany,Software,Technology
943,905,Vincent Viola,$3.2 B,67,United States,Electronic trading,Finance & Investments
944,905,Wu Shaoxun,$3.2 B,67,China,Wine,Food & Beverage
945,905,Steve Wynn,$3.2 B,81,United States,"Casinos, hotels",Gambling & Casinos
946,905,Jon Yarbrough,$3.2 B,65,United States,Video games,Gambling & Casinos
947,905,Zhou Bajin,$3.2 B,87,China,Auto parts,Manufacturing
948,949,Cho Tak Wong,$3.1 B,76,Hong Kong,Auto parts,Manufacturing
949,949,John Coates,$3.1 B,53,United Kingdom,Online gambling,Gambling & Casinos
950,949,Ryan Cohen,$3.1 B,37,Canada,Investments,Finance & Investments
951,949,Deng Wen,$3.1 B,55,China,Flavorings,Food & Beverage
952,949,Gurbachan Singh Dhingra,$3.1 B,72,India,Paints,Manufacturing
953,949,Kuldip Singh Dhingra,$3.1 B,75,India,Paints,Manufacturing
954,949,Martin Ebner,$3.1 B,77,Switzerland,Investments,Finance & Investments
955,949,Charles Edelstenne,$3.1 B,85,France,Aviation,Manufacturing
956,949,Sergei Gordeev,$3.1 B,50,Russia,Real estate,Real Estate
957,949,Jeff T. Green,$3.1 B,46,United States,Digital advertising,Media & Entertainment
958,949,Reed Hastings,$3.1 B,62,United States,Netflix,Technology
959,949,Bertil Hult,$3.1 B,82,Sweden,Education,Service
960,949,Miguel Krigsner,$3.1 B,73,Brazil,Cosmetics,Fashion & Retail
961,949,Kuok Khoon Hong,$3.1 B,73,Singapore,Palm oil,Manufacturing
962,949,Aerin Lauder,$3.1 B,52,United States,Estee Lauder,Fashion & Retail
963,949,Sheldon Lavin,$3.1 B,90,United States,Meat processing,Food & Beverage
964,949,Yin Yee Lee,$3.1 B,71,China,Glass,Manufacturing
965,949,Vladimir Litvinenko & family,$3.1 B,67,Russia,Chemical industry,Manufacturing
966,949,Daniel Mate,$3.1 B,59,Spain,"Mining, commodities",Metals & Mining
967,949,Ravi Modi,$3.1 B,46,India,Readymade garments,Fashion & Retail
968,949,Farhad Moshiri,$3.1 B,67,United Kingdom,Diversified,Diversified
969,949,Jonathan Nelson,$3.1 B,66,United States,Private equity,Finance & Investments
970,949,Or Wai Sheun,$3.1 B,71,Hong Kong,Real estate,Real Estate
971,949,Katharina Otto-Bernstein,$3.1 B,59,Germany,Real estate,Real Estate
972,949,Sergei Popov,$3.1 B,51,Russia,Banking,Finance & Investments
973,949,Penny Pritzker,$3.1 B,63,United States,"Hotels, investments",Finance & Investments
974,949,Theodore Rachmat,$3.1 B,79,Indonesia,Diversified,Diversified
975,949,Renzo Rosso & family,$3.1 B,67,Italy,Fashion,Fashion & Retail
976,949,Friede Springer,$3.1 B,80,Germany,Publishing,Media & Entertainment
977,949,Rita Tong Liu,$3.1 B,74,Hong Kong,Real estate,Real Estate
978,949,Timur Turlov,$3.1 B,35,Kazakhstan,Stock brokerage,Finance & Investments
979,949,Frank VanderSloot,$3.1 B,74,United States,"Nutrition, wellness products",Fashion & Retail
980,949,Yoo Jung-hyun,$3.1 B,53,South Korea,Online games,Media & Entertainment
981,982,Abdulla bin Ahmad Al Ghurair & family,$3 B,N/A,United Arab Emirates,Diversified,Diversified
982,982,Semahat Sevim Arsel,$3 B,94,Turkey,Diversified,Diversified
983,982,Nicolas Berggruen,$3 B,61,United States,"Real estate, investments",Real Estate
984,982,George Bishop,$3 B,85,United States,Oil & gas,Energy
985,982,Norman Braman,$3 B,90,United States,"Art, car dealerships",Automotive
986,982,Eva Maria Bucher-Haefner,$3 B,66,Switzerland,"Software, investments",Technology
987,982,Cai Dongchen,$3 B,70,China,Pharmaceuticals,Healthcare
988,982,Jean-Pierre Cayard,$3 B,80,France,Spirits,Food & Beverage
989,982,Chan Tan Ching-fen,$3 B,N/A,Hong Kong,Real estate,Real Estate
990,982,Todd Christopher,$3 B,60,United States,Hair care products,Fashion & Retail
991,982,Mang Yee Chu & family,$3 B,63,China,Real estate,Real Estate
992,982,"William Conway, Jr.",$3 B,73,United States,Private equity,Finance & Investments
993,982,Jean Coutu & family,$3 B,95,Canada,Drugstores,Fashion & Retail
994,982,Catheline Perier D'Ieteren,$3 B,78,Belgium,"Auto parts, distribution",Automotive
995,982,"Edward DeBartolo, Jr.",$3 B,76,United States,Shopping centers,Real Estate
996,982,Stephen Deckoff,$3 B,57,United States,Private equity,Finance & Investments
997,982,Feng Hailiang,$3 B,62,China,"Copper, education",Metals & Mining
998,982,"Ernest Garcia, II.",$3 B,65,United States,Used cars,Automotive
999,982,Sam Goi,$3 B,76,Singapore,Frozen foods,Food & Beverage
1000,982,Carlos Hank Rhon,$3 B,75,Mexico,Banking,Diversified
1001,982,Susan Carol Holland,$3 B,66,Italy,Hearing aids,Manufacturing
1002,982,Hui Ka Yan,$3 B,64,China,Real estate,Real Estate
1003,982,Vivek Jain,$3 B,67,India,Chemicals,Manufacturing
1004,982,Friedrich Knapp,$3 B,71,Germany,Fashion retail,Fashion & Retail
